valor,conv_atribuidas,reno_base,pct_atribuido,pct_base,indice
GUATEMALA,24,1752,18.75,23.75,79.0
MIXCO,7,520,5.47,7.05,78.0
VILLA NUEVA,6,338,4.69,4.58,102.0
SALAMA,5,46,3.91,0.62,627.0
ESCUINTLA,4,96,3.13,1.3,240.0
QUETZALTENANGO,4,182,3.13,2.47,127.0
SANTA CATARINA PINULA,3,123,2.34,1.67,141.0
FRAIJANES,3,85,2.34,1.15,203.0
JALAPA,3,102,2.34,1.38,170.0
SAN JOSE,2,43,1.56,0.58,268.0
LA ESPERANZA,2,15,1.56,0.2,769.0
SANTA ANA HUISTA,2,4,1.56,0.05,2882.0
TO BE DETERMINED,2,44,1.56,0.6,262.0
SUMPANGO,2,24,1.56,0.33,480.0
CHIQUIMULA,2,85,1.56,1.15,136.0
SACAPULAS,2,13,1.56,0.18,887.0
AMATITLAN,1,39,0.78,0.53,148.0
SAN MATEO IXTATAN,1,3,0.78,0.04,1921.0
BARBERENA,1,25,0.78,0.34,231.0
SANTA CRUZ MULUA,1,23,0.78,0.31,251.0
SAN PEDRO AYAMPUC,1,44,0.78,0.6,131.0
SAN JOSE PINULA,1,100,0.78,1.36,58.0
JALPATAGUA,1,13,0.78,0.18,443.0
SAN PEDRO CARCHA,1,39,0.78,0.53,148.0
POPTUN,1,26,0.78,0.35,222.0
MASAGUA,1,44,0.78,0.6,131.0
RETALHULEU,1,44,0.78,0.6,131.0
TODOS SANTOS CUCHUMATAN,1,7,0.78,0.09,823.0
SALCAJA,1,11,0.78,0.15,524.0
SANTA CATARINA IXTAHUACAN,1,3,0.78,0.04,1921.0
SANTA CLARA LA LAGUNA,1,5,0.78,0.07,1153.0
TAXISCO,1,21,0.78,0.28,274.0
SIQUINALA,1,7,0.78,0.09,823.0
HUEHUETENANGO,1,188,0.78,2.55,31.0
SANTIAGO SACATEPEQUEZ,1,48,0.78,0.65,120.0
SAN JERONIMO,1,25,0.78,0.34,231.0
JACALTENANGO,1,9,0.78,0.12,640.0
CATARINA,1,6,0.78,0.08,961.0
EL JICARO,1,5,0.78,0.07,1153.0
SAN JUAN SACATEPEQUEZ,1,68,0.78,0.92,85.0
COBAN,1,123,0.78,1.67,47.0
SAN SEBASTIAN,1,7,0.78,0.09,823.0
SAN CARLOS SIJA,1,7,0.78,0.09,823.0
SAN ANDRES XECUL,1,5,0.78,0.07,1153.0
SAN PEDRO JOCOPILAS,1,12,0.78,0.16,480.0
CHIMALTENANGO,1,56,0.78,0.76,103.0
ZACAPA,1,55,0.78,0.75,105.0
VILLA CANALES,1,108,0.78,1.46,53.0
SAN RAFAEL PIE DE LA CUESTA,1,7,0.78,0.09,823.0
SANTA MARIA NEBAJ,1,25,0.78,0.34,231.0
SANTO DOMINGO SUCHITEPEQUEZ,1,7,0.78,0.09,823.0
TEJUTLA,1,8,0.78,0.11,721.0
COLOMBA,1,10,0.78,0.14,576.0
EL PROGRESO,1,14,0.78,0.19,412.0
RIO BLANCO,1,2,0.78,0.03,2882.0
ESQUIPULAS,1,11,0.78,0.15,524.0
GUALAN,1,17,0.78,0.23,339.0
SAN PABLO LA LAGUNA,1,2,0.78,0.03,2882.0
MAZATENANGO,1,29,0.78,0.39,199.0
CHINAUTLA,1,76,0.78,1.03,76.0
SAN LUCAS SACATEPEQUEZ,1,47,0.78,0.64,123.0
SAN ANDRES VILLA SECA,1,11,0.78,0.15,524.0
SANTA MARIA CAHABON,1,7,0.78,0.09,823.0
LOS AMATES,1,12,0.78,0.16,480.0
PUERTO BARRIOS,1,84,0.78,1.14,69.0
AGUA BLANCA,1,4,0.78,0.05,1441.0
JUTIAPA,1,77,0.78,1.04,75.0
SANTA MARIA DE JESUS,1,4,0.78,0.05,1441.0
SANTA APOLONIA,1,7,0.78,0.09,823.0
ANTIGUA GUATEMALA,1,37,0.78,0.5,156.0
SAN PEDRO PINULA,1,22,0.78,0.3,262.0
SAYAXCHE,0,25,0.0,0.34,0.0
SAN CRISTOBAL ACASAGUASTLAN,0,1,0.0,0.01,0.0
SAN ANDRES,0,4,0.0,0.05,0.0
TAJUMULCO,0,3,0.0,0.04,0.0
EL QUETZAL,0,2,0.0,0.03,0.0
ZUNILITO,0,2,0.0,0.03,0.0
CABRICAN,0,3,0.0,0.04,0.0
CONGUACO,0,1,0.0,0.01,0.0
SAN SEBASTIAN COATAN,0,1,0.0,0.01,0.0
GUAZACAPAN,0,2,0.0,0.03,0.0
SAN VICENTE PACAYA,0,5,0.0,0.07,0.0
SAN CARLOS ALZATATE,0,3,0.0,0.04,0.0
LA REFORMA,0,1,0.0,0.01,0.0
SAN JUAN BAUTISTA,0,1,0.0,0.01,0.0
SAN JUAN OSTUNCALCO,0,13,0.0,0.18,0.0
SAN MIGUEL POCHUTA,0,1,0.0,0.01,0.0
CHIQUIMULILLA,0,14,0.0,0.19,0.0
SAN ANTONIO ILOTENANGO,0,12,0.0,0.16,0.0
JOCOTENANGO,0,13,0.0,0.18,0.0
CIUDAD VIEJA,0,18,0.0,0.24,0.0
SAN MIGUEL CHICAJ,0,9,0.0,0.12,0.0
EL ASINTAL,0,4,0.0,0.05,0.0
RIO HONDO,0,19,0.0,0.26,0.0
SANTA EULALIA,0,2,0.0,0.03,0.0
PANAJACHEL,0,5,0.0,0.07,0.0
SAN ANTONIO PALOPO,0,5,0.0,0.07,0.0
EL CHAL,0,7,0.0,0.09,0.0
HUITE,0,2,0.0,0.03,0.0
CONCEPCION LAS MINAS,0,2,0.0,0.03,0.0
ESTANZUELA,0,7,0.0,0.09,0.0
PALIN,0,30,0.0,0.41,0.0
SAN MARCOS,0,14,0.0,0.19,0.0
USPANTAN,0,9,0.0,0.12,0.0
EL ESTOR,0,5,0.0,0.07,0.0
SANTA CRUZ BARILLAS,0,3,0.0,0.04,0.0
FLORES COSTA CUCA,0,5,0.0,0.07,0.0
GUASTATOYA,0,17,0.0,0.23,0.0
UNION CANTINIL,0,2,0.0,0.03,0.0
PANZOS,0,7,0.0,0.09,0.0
SAN PABLO JOCOPILAS,0,3,0.0,0.04,0.0
CONCEPCION CHIQUIRICHAPA,0,2,0.0,0.03,0.0
SANTA CATARINA BARAHONA,0,1,0.0,0.01,0.0
TACANA,0,2,0.0,0.03,0.0
