valor,conv_atribuidas,reno_base,pct_atribuido,pct_base,indice
GUATEMALA,49,3408,38.28,46.19,83.0
QUETZALTENANGO,9,325,7.03,4.4,160.0
ESCUINTLA,7,294,5.47,3.98,137.0
SACATEPEQUEZ,6,263,4.69,3.56,131.0
HUEHUETENANGO,6,403,4.69,5.46,86.0
BAJA VERAPAZ,6,118,4.69,1.6,293.0
RETALHULEU,4,121,3.13,1.64,191.0
SAN MARCOS,4,167,3.13,2.26,138.0
JUTIAPA,4,185,3.13,2.51,125.0
QUICHE,4,272,3.13,3.69,85.0
JALAPA,4,167,3.13,2.26,138.0
SOLOLA,3,72,2.34,0.98,240.0
ALTA VERAPAZ,3,323,2.34,4.38,54.0
CHIQUIMULA,3,148,2.34,2.01,117.0
PETEN,2,184,1.56,2.49,63.0
CHIMALTENANGO,2,216,1.56,2.93,53.0
ZACAPA,2,123,1.56,1.67,94.0
SUCHITEPEQUEZ,2,98,1.56,1.33,118.0
TO BE DETERMINED,2,44,1.56,0.6,262.0
IZABAL,2,154,1.56,2.09,75.0
SANTA ROSA,2,130,1.56,1.76,89.0
EL PROGRESO,1,81,0.78,1.1,71.0
TOTONICAPAN,1,82,0.78,1.11,70.0
