valor,conv_atribuidas,reno_base,pct_atribuido,pct_base,indice
40GB POST V7 PARKING,37,843,28.91,11.43,253.0
30GB POST V6,27,2122,21.09,28.76,73.0
55GB POST V7 PARKING,19,649,14.84,8.8,169.0
45GB POST V6,12,873,9.38,11.83,79.0
60GB POST V7 PARKING,10,505,7.81,6.84,114.0
50GB POST V6,6,518,4.69,7.02,67.0
100GB POST V6,4,147,3.13,1.99,157.0
125GB PT V7 PARKING,3,120,2.34,1.63,144.0
70GB POST V7 PARKING,2,110,1.56,1.49,105.0
80GB POST V6,2,84,1.56,1.14,137.0
SL8.0-70GB-B2B-A-F,1,4,0.78,0.05,1441.0
25 GB PARKING2 V6,1,19,0.78,0.26,303.0
SMS ILIMITADO,1,39,0.78,0.53,148.0
90GB POST V7 PARKING,1,137,0.78,1.86,42.0
60GB POST V6,1,109,0.78,1.48,53.0
45GB V5,1,118,0.78,1.6,49.0
50GB POST V4.0 RENO,0,11,0.0,0.15,0.0
100 GB PARKING2 V6,0,7,0.0,0.09,0.0
NOT APPLICABLE,0,203,0.0,2.75,0.0
20GB POST V4.0,0,15,0.0,0.2,0.0
70 GB PARKING2 V6,0,17,0.0,0.23,0.0
50GB POST V4.0,0,2,0.0,0.03,0.0
25GB SIN CONTRATO V6,0,2,0.0,0.03,0.0
60GB,0,3,0.0,0.04,0.0
SL8.0-140GB-B2B-A-F,0,3,0.0,0.04,0.0
TO BE DETERMINED,0,1,0.0,0.01,0.0
25 GB PARKING3 V6,0,25,0.0,0.34,0.0
60GB POST V4.0,0,2,0.0,0.03,0.0
70 GB PARKING1 V6,0,6,0.0,0.08,0.0
100GB POST V4.0 UPDT,0,2,0.0,0.03,0.0
40GB POST V4.0,0,4,0.0,0.05,0.0
20GB V4.0,0,4,0.0,0.05,0.0
100GB V5,0,38,0.0,0.52,0.0
100GB POST V4.0,0,5,0.0,0.07,0.0
45GB SIN CONTRATO V6,0,3,0.0,0.04,0.0
SL8.0-40GB-B2B-CA-F,0,1,0.0,0.01,0.0
20GB,0,1,0.0,0.01,0.0
40GB V5,0,117,0.0,1.59,0.0
35 GB PARKING V6,0,48,0.0,0.65,0.0
50GB V5,0,45,0.0,0.61,0.0
SL8.0-55GB-B2B-A-F,0,8,0.0,0.11,0.0
50GB,0,1,0.0,0.01,0.0
100 GB PARKING1 V6,0,5,0.0,0.07,0.0
125GB P V7 PARKING,0,98,0.0,1.33,0.0
55GB SIN CONTRATO V6,0,3,0.0,0.04,0.0
25 GB PARKING4 V6,0,94,0.0,1.27,0.0
15GB SIN CONTRATO V7,0,1,0.0,0.01,0.0
15 GB PARKING V6,0,1,0.0,0.01,0.0
SL8.0-40GB-B2B-A-F,0,1,0.0,0.01,0.0
25 GB PARKING1 V6,0,1,0.0,0.01,0.0
SL8.0-140GB-B2B-M-F,0,2,0.0,0.03,0.0
NA,0,1,0.0,0.01,0.0
20GB V5,0,86,0.0,1.17,0.0
70GB C V7,0,1,0.0,0.01,0.0
125GB POST V7 PARKING,0,80,0.0,1.08,0.0
SL8.0-85GB-B2B-A-F,0,1,0.0,0.01,0.0
55 GB PARKING V6,0,9,0.0,0.12,0.0
50GB C V7,0,20,0.0,0.27,0.0
60GB V5,0,3,0.0,0.04,0.0
