valor,conv_atribuidas,reno_base,pct_atribuido,pct_base,indice
GUATEMALA,10,2728,18.18,23.2,78.0
MIXCO,7,900,12.73,7.65,166.0
SANTA CATARINA PINULA,3,216,5.45,1.84,297.0
VILLA NUEVA,3,481,5.45,4.09,133.0
QUETZALTENANGO,3,310,5.45,2.64,207.0
ANTIGUA GUATEMALA,1,65,1.82,0.55,329.0
LA BLANCA,1,4,1.82,0.03,5346.0
ZARAGOZA,1,9,1.82,0.08,2376.0
SAN ANTONIO SACATEPEQUEZ,1,7,1.82,0.06,3055.0
JUTIAPA,1,138,1.82,1.17,155.0
CHINIQUE,1,11,1.82,0.09,1944.0
RETALHULEU,1,91,1.82,0.77,235.0
SAN BENITO,1,45,1.82,0.38,475.0
POPTUN,1,31,1.82,0.26,690.0
YUPILTEPEQUE,1,8,1.82,0.07,2673.0
LAS CRUCES,1,7,1.82,0.06,3055.0
NUEVA CONCEPCION,1,35,1.82,0.3,611.0
SUMPANGO,1,35,1.82,0.3,611.0
SAN JOSE LA MAQUINA,1,8,1.82,0.07,2673.0
COATEPEQUE,1,38,1.82,0.32,563.0
SANTA MARIA NEBAJ,1,45,1.82,0.38,475.0
CHUARRANCHO,1,7,1.82,0.06,3055.0
PATZICIA,1,10,1.82,0.09,2138.0
SANTA CRUZ VERAPAZ,1,19,1.82,0.16,1125.0
COBAN,1,211,1.82,1.79,101.0
SANTIAGO SACATEPEQUEZ,1,43,1.82,0.37,497.0
MATAQUESCUINTLA,1,17,1.82,0.14,1258.0
GUASTATOYA,1,29,1.82,0.25,737.0
CUILAPA,1,24,1.82,0.2,891.0
SAN JOSE,1,61,1.82,0.52,351.0
SAN MIGUEL CHICAJ,1,25,1.82,0.21,855.0
ESCUINTLA,1,178,1.82,1.51,120.0
SAN ANTONIO LA PAZ,1,17,1.82,0.14,1258.0
SACAPULAS,1,28,1.82,0.24,764.0
CONCEPCION HUISTA,0,2,0.0,0.02,0.0
EL QUETZAL,0,4,0.0,0.03,0.0
SAN PEDRO SACATEPEQUEZ,0,89,0.0,0.76,0.0
SAN JUAN COTZAL,0,18,0.0,0.15,0.0
MALACATANCITO,0,50,0.0,0.43,0.0
TAXISCO,0,31,0.0,0.26,0.0
SANTA CRUZ DEL QUICHE,0,85,0.0,0.72,0.0
SAN FELIPE,0,11,0.0,0.09,0.0
LA ESPERANZA,0,38,0.0,0.32,0.0
SIQUINALA,0,18,0.0,0.15,0.0
AGUACATAN,0,19,0.0,0.16,0.0
ORATORIO,0,8,0.0,0.07,0.0
EL ADELANTO,0,5,0.0,0.04,0.0
SANTA CLARA LA LAGUNA,0,1,0.0,0.01,0.0
SANTA CATALINA LA TINTA,0,9,0.0,0.08,0.0
SAN MIGUEL PETAPA,0,159,0.0,1.35,0.0
SAN PEDRO PINULA,0,38,0.0,0.32,0.0
SAN AGUSTIN ACASAGUASTLAN,0,24,0.0,0.2,0.0
ATESCATEMPA,0,17,0.0,0.14,0.0
COMAPA,0,15,0.0,0.13,0.0
TIQUISATE,0,25,0.0,0.21,0.0
CHICHICASTENANGO,0,40,0.0,0.34,0.0
CAJOLA,0,4,0.0,0.03,0.0
SAN LUIS,0,9,0.0,0.08,0.0
SANTA APOLONIA,0,12,0.0,0.1,0.0
COMITANCILLO,0,13,0.0,0.11,0.0
SAN JACINTO,0,4,0.0,0.03,0.0
SANTA CRUZ NARANJO,0,17,0.0,0.14,0.0
SAN FRANCISCO EL ALTO,0,14,0.0,0.12,0.0
CUYOTENANGO,0,14,0.0,0.12,0.0
SAN PABLO,0,8,0.0,0.07,0.0
TACTIC,0,25,0.0,0.21,0.0
PASACO,0,4,0.0,0.03,0.0
HUEHUETENANGO,0,255,0.0,2.17,0.0
ESQUIPULAS PALO GORDO,0,7,0.0,0.06,0.0
SAN JUAN COMALAPA,0,11,0.0,0.09,0.0
SANTA BARBARA,0,19,0.0,0.16,0.0
SANTA LUCIA COTZUMALGUAPA,0,40,0.0,0.34,0.0
SANTA MARIA DE JESUS,0,10,0.0,0.09,0.0
SAN ANDRES ITZAPA,0,7,0.0,0.06,0.0
CHISEC,0,21,0.0,0.18,0.0
SENAHU,0,5,0.0,0.04,0.0
COLOTENANGO,0,7,0.0,0.06,0.0
CABAÑAS,0,8,0.0,0.07,0.0
USUMATLAN,0,9,0.0,0.08,0.0
CHAJUL,0,7,0.0,0.06,0.0
DOLORES,0,8,0.0,0.07,0.0
SAN SEBASTIAN HUEHUETENANGO,0,7,0.0,0.06,0.0
SAN PEDRO NECTA,0,5,0.0,0.04,0.0
SANTA MARIA IXHUATAN,0,7,0.0,0.06,0.0
CANILLA,0,3,0.0,0.03,0.0
AMATITLAN,0,54,0.0,0.46,0.0
MALACATAN,0,31,0.0,0.26,0.0
SAN JUAN OSTUNCALCO,0,17,0.0,0.14,0.0
LA REFORMA,0,2,0.0,0.02,0.0
SAN ANDRES,0,5,0.0,0.04,0.0
SAN MIGUEL POCHUTA,0,3,0.0,0.03,0.0
ESTANZUELA,0,10,0.0,0.09,0.0
SANTA CRUZ MULUA,0,20,0.0,0.17,0.0
SAN ANTONIO ILOTENANGO,0,8,0.0,0.07,0.0
SAN VICENTE PACAYA,0,1,0.0,0.01,0.0
JOCOTENANGO,0,21,0.0,0.18,0.0
GUAZACAPAN,0,8,0.0,0.07,0.0
CHIQUIMULILLA,0,19,0.0,0.16,0.0
SAN CARLOS ALZATATE,0,8,0.0,0.07,0.0
TAJUMULCO,0,5,0.0,0.04,0.0
CABRICAN,0,6,0.0,0.05,0.0
SAN MATEO IXTATAN,0,3,0.0,0.03,0.0
ZUNILITO,0,3,0.0,0.03,0.0
CONGUACO,0,5,0.0,0.04,0.0
CUBULCO,0,20,0.0,0.17,0.0
SAMAYAC,0,3,0.0,0.03,0.0
RIO BLANCO,0,1,0.0,0.01,0.0
SAN PEDRO CARCHA,0,48,0.0,0.41,0.0
ALMOLONGA,0,13,0.0,0.11,0.0
MASAGUA,0,69,0.0,0.59,0.0
TODOS SANTOS CUCHUMATAN,0,21,0.0,0.18,0.0
SAN JUAN IXCOY,0,6,0.0,0.05,0.0
SOLOLA,0,37,0.0,0.31,0.0
TECTITAN,0,6,0.0,0.05,0.0
TECPAN GUATEMALA,0,39,0.0,0.33,0.0
SANTA ANA,0,10,0.0,0.09,0.0
LA UNION,0,4,0.0,0.03,0.0
SANTA CATARINA IXTAHUACAN,0,3,0.0,0.03,0.0
SAN LUIS JILOTEPEQUE,0,14,0.0,0.12,0.0
NENTON,0,3,0.0,0.03,0.0
HUITAN,0,4,0.0,0.03,0.0
CHIANTLA,0,41,0.0,0.35,0.0
JEREZ,0,7,0.0,0.06,0.0
CHICHE,0,9,0.0,0.08,0.0
SANTA LUCIA MILPAS ALTAS,0,35,0.0,0.3,0.0
SALCAJA,0,17,0.0,0.14,0.0
SAN RAYMUNDO,0,13,0.0,0.11,0.0
MAGDALENA MILPAS ALTAS,0,11,0.0,0.09,0.0
EL PROGRESO,0,37,0.0,0.31,0.0
OLINTEPEQUE,0,19,0.0,0.16,0.0
IXCAN,0,32,0.0,0.27,0.0
SAN ILDEFONSO IXTAHUACAN,0,16,0.0,0.14,0.0
COLOMBA,0,9,0.0,0.08,0.0
SANTA MARIA CHIQUIMULA,0,11,0.0,0.09,0.0
SANTO DOMINGO SUCHITEPEQUEZ,0,10,0.0,0.09,0.0
ACATENANGO,0,10,0.0,0.09,0.0
SAN MARTIN SACATEPEQUEZ,0,8,0.0,0.07,0.0
ASUNCION MITA,0,21,0.0,0.18,0.0
SAN JOSE CHACAYA,0,3,0.0,0.03,0.0
GUANAGAZAPA,0,4,0.0,0.03,0.0
TEJUTLA,0,12,0.0,0.1,0.0
CHICAMAN,0,10,0.0,0.09,0.0
SAN LUCAS TOLIMAN,0,12,0.0,0.1,0.0
SAN BERNARDINO,0,1,0.0,0.01,0.0
SAN ANTONIO HUISTA,0,12,0.0,0.1,0.0
EL TEJAR,0,31,0.0,0.26,0.0
CASILLAS,0,22,0.0,0.19,0.0
LA DEMOCRACIA,0,39,0.0,0.33,0.0
