valor,conv_atribuidas,reno_base,pct_atribuido,pct_base,indice
GUATEMALA,24,5435,43.64,46.21,94.0
QUETZALTENANGO,4,560,7.27,4.76,153.0
PETEN,3,247,5.45,2.1,260.0
QUICHE,3,428,5.45,3.64,150.0
ESCUINTLA,3,533,5.45,4.53,120.0
SACATEPEQUEZ,3,409,5.45,3.48,157.0
EL PROGRESO,2,124,3.64,1.05,345.0
JUTIAPA,2,356,3.64,3.03,120.0
CHIMALTENANGO,2,291,3.64,2.47,147.0
SAN MARCOS,2,308,3.64,2.62,139.0
ALTA VERAPAZ,2,437,3.64,3.72,98.0
BAJA VERAPAZ,1,173,1.82,1.47,124.0
SANTA ROSA,1,222,1.82,1.89,96.0
JALAPA,1,269,1.82,2.29,79.0
RETALHULEU,1,191,1.82,1.62,112.0
SUCHITEPEQUEZ,1,154,1.82,1.31,139.0
CHIQUIMULA,0,252,0.0,2.14,0.0
SOLOLA,0,118,0.0,1.0,0.0
HUEHUETENANGO,0,605,0.0,5.14,0.0
IZABAL,0,296,0.0,2.52,0.0
ZACAPA,0,201,0.0,1.71,0.0
TOTONICAPAN,0,149,0.0,1.27,0.0
TO BE DETERMINED,0,3,0.0,0.03,0.0
