valor,conv_atribuidas,reno_base,pct_atribuido,pct_base,indice
30GB POST V6,18,2711,32.73,23.05,142.0
40GB POST V7 PARKING,15,1958,27.27,16.65,164.0
50GB POST V6,9,695,16.36,5.91,277.0
60GB POST V7 PARKING,5,1078,9.09,9.17,99.0
20GB V5,3,139,5.45,1.18,462.0
100GB V5,1,54,1.82,0.46,396.0
55GB POST V7 PARKING,1,1322,1.82,11.24,16.0
45GB V5,1,129,1.82,1.1,166.0
60GB POST V6,1,164,1.82,1.39,130.0
45GB POST V6,1,1258,1.82,10.7,17.0
NOT APPLICABLE,0,251,0.0,2.13,0.0
SL8.0-30GB-B2B-CA-F,0,2,0.0,0.02,0.0
70 GB PARKING2 V6,0,31,0.0,0.26,0.0
50GB POST V4.0,0,3,0.0,0.03,0.0
SL8.0-140GB-B2B-A-F,0,2,0.0,0.02,0.0
TO BE DETERMINED,0,1,0.0,0.01,0.0
25 GB PARKING1 V6,0,3,0.0,0.03,0.0
20GB 3.0,0,3,0.0,0.03,0.0
55GB BYOD LEGACY,0,1,0.0,0.01,0.0
60GB,0,1,0.0,0.01,0.0
25GB SIN CONTRATO V6,0,1,0.0,0.01,0.0
100GB POST V4.0 UPDT,0,12,0.0,0.1,0.0
35GB SIN CONTRATO V6,0,2,0.0,0.02,0.0
70 GB PARKING1 V6,0,12,0.0,0.1,0.0
100GB POST V6,0,192,0.0,1.63,0.0
25 GB PARKING2 V6,0,20,0.0,0.17,0.0
100 GB PARKING1 V6,0,12,0.0,0.1,0.0
SL - 9GB 5.0 FF,0,1,0.0,0.01,0.0
40GB POST V4.0,0,13,0.0,0.11,0.0
125GB P V7 PARKING,0,144,0.0,1.22,0.0
SL8.0-70GB-B2B-A-F,0,13,0.0,0.11,0.0
55GB SIN CONTRATO V6,0,2,0.0,0.02,0.0
25 GB PARKING4 V6,0,179,0.0,1.52,0.0
50GB C V7,0,57,0.0,0.48,0.0
125GB POST V7 PARKING,0,86,0.0,0.73,0.0
55 GB PARKING V6,0,12,0.0,0.1,0.0
SL8.0-85GB-B2B-A-F,0,1,0.0,0.01,0.0
15GB SIN CONTRATO V7,0,1,0.0,0.01,0.0
40 GB C 3.0,0,2,0.0,0.02,0.0
20GB V4.0,0,1,0.0,0.01,0.0
20GB POST V4.0,0,21,0.0,0.18,0.0
SL8.0-55GB-B2B-A-F,0,10,0.0,0.09,0.0
45GB SIN CONTRATO V6,0,6,0.0,0.05,0.0
90GB POST V7 PARKING,0,195,0.0,1.66,0.0
70GB POST V7 PARKING,0,165,0.0,1.4,0.0
30GB SIN CONTRATO V6,0,4,0.0,0.03,0.0
100 GB PARKING2 V6,0,5,0.0,0.04,0.0
SL8.0-140GB-B2B-M-F,0,1,0.0,0.01,0.0
40GB V5,0,249,0.0,2.12,0.0
50GB V5,0,30,0.0,0.26,0.0
35 GB PARKING V6,0,93,0.0,0.79,0.0
20GB C 3.0,0,5,0.0,0.04,0.0
50GB,0,1,0.0,0.01,0.0
125GB PT V7 PARKING,0,204,0.0,1.73,0.0
60GB POST V4.0 RENO,0,2,0.0,0.02,0.0
50GB POST V4.0 RENO,0,9,0.0,0.08,0.0
SL8.0-40GB-B2B-A-F,0,2,0.0,0.02,0.0
70GB C V7,0,4,0.0,0.03,0.0
35 GB PARKING2 V6,0,1,0.0,0.01,0.0
100GB POST V4.0,0,14,0.0,0.12,0.0
80GB POST V6,0,120,0.0,1.02,0.0
25 GB PARKING3 V6,0,34,0.0,0.29,0.0
60GB V5,0,8,0.0,0.07,0.0
125GB C V7,0,2,0.0,0.02,0.0
60GB POST V4.0,0,7,0.0,0.06,0.0
